Power station name,Installed capacity,Accreditation start date
Woolworths Kellyville 1347 - Solar - NSW,0.3997,18/04/2024
Homart Pharmaceuticals - Rydalmere - Solar w SGU - NSW,0.3916,17/04/2024
GME Winston Hills - Solar w SGU - NSW,0.6001,17/04/2024
Uniplas Wetherill Park - Solar w SGU - NSW,0.299,16/04/2024
Cumberland Hydro Project - Mini Hydro - TAS,1.5787,16/04/2024
139 Hughes Street - Solar - NSW,0.2926,15/04/2024
Nepean Hospital - Solar - NSW,0.52,15/04/2024
WARRIGAL CARE SHELL COVE - Solar w/SGU - NSW,0.1995,15/04/2024
Woolworths Mossman 2769 - Solar - QLD,0.3413,12/04/2024
Woolworths DC Moorebank NDC - Solar - NSW,1.7802,12/04/2024
HOA - Solar w SGU - VIC,0.2001,12/04/2024
Caloundra Village - Solar - QLD,0.15,11/04/2024
Dingley Village Hotel - Solar - VIC,0.1991,10/04/2024
OLERS - Resource - Solar - VIC,0.8443,10/04/2024
AU157 - 33 Goodman Pl - Solar - QLD,0.9731,9/04/2024
Advantage - Solar - WA,0.4998,8/04/2024
Rowville Terminal Station - Solar - VIC,1.1248,8/04/2024
BF PORT MELBOURNE - SOLAR w SGU - VIC,0.1958,5/04/2024
BF KUNDA PARK - SOLAR w SGU - QLD,0.2262,5/04/2024
BF YATALA - SOLAR w SGU - QLD,0.3788,5/04/2024
BF ROCKHAMPTON - SOLAR w SGU - QLD,0.303,5/04/2024
BF GILLMAN - SOLAR w SGU - SA,0.3467,5/04/2024
BF DARWIN - SOLAR - NT,0.252,5/04/2024
BF WOLLONGONG - SOLAR w SGU - NSW,0.153,5/04/2024
Marketlane Subiaco - Solar  - WA,0.1251,21/03/2024
JCs Quality Foods - Solar wSGU - VIC,0.1944,19/03/2024
Wellington North Solar Farm Pty Ltd - Solar - NSW,425.068,18/03/2024
BF MALAGA - SOLAR w SGU - WA,0.2165,15/03/2024
Ruxdale - Solar w SGU - QLD,0.2743,14/03/2024
Blenners Transport TULLY - Solar w SGU - QLD,0.1995,14/03/2024
Retail First Sunnybank Plaza-Solar-QLD,0.7005,14/03/2024
Rosehill Asphalt Plant - Solar w SGU - NSW,0.3508,14/03/2024
Galintel Coffs Harbour - Solar w SGU - NSW,0.4,13/03/2024
Springs SC - Solar - WA,0.2871,12/03/2024
Goodman Lot 12 Logistics Drive - Solar - VIC,0.45,8/03/2024
Goodman Nursery Avenue - Solar w SGU - VIC,0.2,8/03/2024
Goodman Roberts DC Australia Post - Solar w SGU - NSW,0.2,8/03/2024
Goodman IMAG - Solar - VIC,0.4001,8/03/2024
Goodman Port Melbourne Store E - Solar - VIC,0.25,8/03/2024
Lindsay Australia Mareeba - Solar  - QLD,0.1478,6/03/2024
Lindsay Australia Erskine Park - Solar w SGU - NSW,0.5351,6/03/2024
Lindsay Australia Acacia Ridge - Solar - QLD,0.4399,5/03/2024
Australia Post: Perth PDC - Solar - WA,0.8006,4/03/2024
Somerton Pump Station - Solar - VIC,0.1536,4/03/2024
Fresenius Smithfield - Solar w SGU - NSW,0.2899,1/03/2024
Woolworths Bayswater 3141 - Solar - VIC,0.2484,27/02/2024
Agile Energy CC Docklands 140kW SolarwSGU - VIC,0.1406,27/02/2024
Yeppoon Sewerage Treatment Plant - Solar - QLD,0.5502,27/02/2024
Agile Energy - Centuria8Central - 323kW - Solar w SGU - NSW,0.3232,27/02/2024
Wideline Newbridge Road - Solar wSGU - NSW,0.406,27/02/2024
Agile Energy - CromwellWSF158kW Solar wSGU - QLD,0.1579,27/02/2024
Winneke Water Treatment Plant - Solar - VIC,9.5395,26/02/2024
Preston Mini Hydro - VIC,2,26/02/2024
AMYSON - Solar w SGU - NSW,0.2001,24/02/2024
LAVA BLUE (BRIS) - SOLAR - QLD,0.1746,21/02/2024
Bigbell-Solar-WA,4.2575,20/02/2024
Americold Wivenhoe - Solar w SGU - TAS,1.1125,20/02/2024
MUR THAI FOOD CO PTY LTD - Solar w SGU - NSW,0.1966,15/02/2024
Moora Energy Windfarm - Wind - WA,3.6,14/02/2024
Xavier College - Solar with SGU - SA,0.2299,13/02/2024
Greentech 1 Solar Farm & BESS - Solar - VIC,7.02,12/02/2024
Goyder South Wind Farm 1A - Wind - SA,200.982,11/02/2024
Cootamundra Solar Farm - Solar - NSW,5.8386,8/02/2024
COCHLEAR LANE COVE CARPORT - SOLAR - NSW,0.4382,2/02/2024
Greentech 4 Solar Farm & BESS - Solar - VIC,7.02,2/02/2024
